canonical_name,category,aliases
Flink,data,Apache Flink|flink
Hive,data,hive|HiveSQL
数据分析,data,Data Analysis|数据挖掘
爬虫,data,网络爬虫|Scrapy|scrapy|数据采集
数据结构与算法,cs,数据结构|算法|LeetCode|Data Structures
操作系统,cs,OS原理|Operating System
计算机网络,cs,TCP/IP|HTTP|HTTPS|网络协议|HTTP协议
WebSocket,cs,websocket|WS长连接
OAuth2,cs,OAuth|OAuth 2.0|单点登录|SSO
JWT,cs,Json Web Token|JSON Web Token|token鉴权
